report_no,year,country_iso3,doi,sha256
2003/011,2003,ROU,10.5089/9781451832730.002,5da42c6cd5c5e0a809c997daf666b13f730748ab8c115530299bfd507387e40e
2003/023,2003,FSM,10.5089/9781451813777.002,9cdb40c34151f1f7dd5db531a42bfd14d0bf96862a59bcd6ef5955a4955814f0
2003/024,2003,NIC,10.5089/9781451829150.002,24a9653694a35ce2bd4e3d0b21db4542b7ccd5fc5989a9d515011470bd5c6c13
2003/025,2003,GRD,10.5089/9781451816402.002,dd67db5e3cc227bde98bdf9d0ab8b52726e27046f921bc9bca546501d08686e1
2003/028,2003,VCT,10.5089/9781451839937.002,e7d8743f4a464973a6fad29038952c769b1d15f91d0fd28171a7d5d74d8b55fb
2003/044,2003,BRB,10.5089/9781451806021.002,1bf2c93c9b5ddd9a4440f4c4f07bb7c06dee1c15f98c7cbb2d9a32696345d751
2003/051,2003,KGZ,10.5089/9781451821352.002,ef6152d9a8bfc74b75d54c751979b19053f96b9e6ea3212c12628d4abf3a2925
2003/066,2003,ARE,10.5089/9781451801101.002,79786ab9bd24ddde066be086fac1fe13e0f426144da4d175ab6d8b9f20c40676
2003/077,2003,NOR,10.5089/9781451829693.002,774bd84749f8ea4c1a437bd6d8fa869e313bc4e5ecaeea62445b3e7f0199f432
2003/079,2003,KOR,10.5089/9781451822076.002,92d7471413cc6cab2e0511780460153bda3069cac783e55c3d98b32f59d967e4
2003/083,2003,UGA,10.5089/9781451838657.002,c89e84ee6428eada494376f28236e83eabd2445034563671d8a7524481b3686c
2003/117,2003,BLR,10.5089/9781451805079.002,78f32e576d609410d3effbc9b13800341b55dd111b9373594a58b5d6bf69d60f
2003/144,2003,RUS,10.5089/9781451833010.002,9257e0f3ea21726af4d0268d74cf20cfc2addbe7fb1cdcd59c3a19441b2accf6
2003/160,2003,ANT,10.5089/9781451801026.002,db91725afc04f7b5be9457c6046163efe8511869775b51e5c1f12b9b259608cd
2003/161,2003,COD,10.5089/9781451841121.002,491629c2ed86d0589cbd118cd9f195717bc91e06482eba8c70995173a671a271
2003/172,2003,UKR,10.5089/9781451838961.002,67c5095af5911caf0dab2cb9d5c0819e32f4177bd8579b6e416bef34e276493e
2003/178,2003,PNG,10.5089/9781451831689.002,d43faf3109d35f6f53030d268f8959b0451810eaa218ddbe17dc8c7dc6e00802
2003/187,2003,POL,10.5089/9781451831856.002,f1fe2af027f3d6ebcf6a23b3ca060efd27992a834c073b79a60be24c65146d24
2003/195,2003,WSM,10.5089/9781451840674.002,f72b1338f64477544b9c31bb5f300dff83f37b757d73491663825f1273793d54
2003/197,2003,BFA,10.5089/9781451803693.002,0a972a9b912930a561383bc3100ddff2888473e70844e0dd7e43fc103a1d76b4
2003/205,2003,BGD,10.5089/9781451804140.002,1b809c9e49b5bbb8da547641b502e2dc79c894274e1b83617e17d7f1687e9a1f
2003/234,2003,SVK,10.5089/9781451835427.002,d08617ec0fbec0e3db76ef77092fe6b2b614eb0574be86f9fe88d11dc7149136
2003/239,2003,NLD,10.5089/9781451829372.002,7156d8a6d24dce7bbff722f9daa590140ca88a8dbcd93abf208f621ab455893b
2003/250,2003,GIN,10.5089/9781451815153.002,c2b162f5bdb5f2d4b08f2d73ea587f9b4081f663715b8195b6363ca28ceadd53
2003/274,2003,LBR,10.5089/9781451822809.002,e8fc417d6c28303e04497890762f0dea16a5688217042ac13ef99964e66bd2de
2003/279,2003,IRN,10.5089/9781451818949.002,b424bba03e366fe3c74bef77a0136a74ae4670d03323e5901473dea36ec598e8
2003/281,2003,JPN,10.5089/9781451820492.002,50b23d1e61363b2cf5ee216a89c6a7f2d8157050bc5c35e23e8d5db6d1a2c1fc
2003/303,2003,CHL,10.5089/9781451807561.002,1c0521709ca44bd2b6fb3e99273b11591da5f844531839c152a3e07e122259d3
2003/314,2003,MRT,10.5089/9781451827521.002,15092532466b78b6b9227f35b5dcb7fbe1e2e97aa898d552e3312632a97552b0
2003/319,2003,MUS,10.5089/9781451827743.002,a78e56947614ee5485df021136b40326342c2f0e038b33a971813b28fdbf7fb6
2003/330,2003,EST,10.5089/9781451812374.002,1913f20f21453990a3618d553e9ba4e1df8d061f63a9b88e51d7df5948049d99
2003/341,2003,DEU,10.5089/9781451810448.002,3d5c0b31a187b6dc8a0548255fe706906c1442b3f2c29908cc9e68f72af4c9f6
2003/351,2003,ITA,10.5089/9781451819755.002,29e874a3ddc2c63fc8455a6c8e71a96e02a1958528b9b2fbf1f8b1aaa92f1133
2003/356,2003,SUR,10.5089/9781451835243.002,94c4e94098ca198fd894d279d5f4d0f55e0ced411753e4034bd1ba2922b013b6
2003/383,2003,TGO,10.5089/9781451836578.002,7a63585293471af43ec90f18f4ab2542d0e3110ac47a17447b31399fcce56db8
2003/390,2003,SDN,10.5089/9781451833737.002,f24913ed99b835b52533e452c35fabe52132a0ddc7663b7f80d67695cb33c995
2003/391,2003,AFG,10.5089/9781451800173.002,fd2fe390671ed5a9ba79dfe478563d5dbe840cc84610349576a8a20a7178244f
2004/039,2004,MDA,10.5089/9781451824971.002,b31ed5057485bec0a519abc3c9e7a65f854503ea8bcfb34e378b62d89399855c
2004/042,2004,GMB,10.5089/9781451815429.002,6c6b21a3ee3e0c1f3a507f3159795dd18d0275ac30e7618f25f27d4aad0c8a27
2004/044,2004,KOR,10.5089/9781451822083.002,2f66c8f22ab4a04627c6a051f8f1d5f82d387e37ad50ca00b9b85ce7dd60e7d1
2004/047,2004,BEL,10.5089/9781451803136.002,6c89c8b923cd6c960307657f305b2aef79384d5d92b1da3dec7680af59fc0990
2004/061,2004,CAN,10.5089/9781451806960.002,1c83adef6e0972dc6cff10701a6a64c59d5ade7d9ca3fce2a858142b2631c362
2004/073,2004,DJI,10.5089/9781451810615.002,ba1aebb92ac667559a51e038f072aaa3917cd23d31909eaa0bd0dc3f658c3f8a
2004/076,2004,JAM,10.5089/9781451820102.002,8a62658008410ad9766f5b03255b0da3278ae49cde6947cee9dc29cf1d4d4637
